Date,Open,High,Low,Close,Adj Close,Volume
2015-06-08,449.142578,450.727539,437.403839,438.567810,422.947754,5005867
2015-06-09,437.626740,441.143402,434.555847,437.701019,422.111877,4224271
2015-06-10,438.840240,450.678009,438.344940,448.647278,432.668274,6234576
2015-06-11,448.746338,450.479889,432.723206,434.456787,418.983185,6773174
2015-06-12,435.373108,442.158783,435.001617,440.747162,425.049530,9942471
2015-06-15,443.248444,448.251038,440.821442,446.641296,430.733704,5934228
2015-06-16,445.279205,448.251038,442.406433,447.730957,431.784576,6428372
2015-06-17,448.275787,466.750671,442.802673,461.228027,444.800934,12106356
2015-06-18,461.896667,486.389526,461.871918,484.878845,467.609406,22782770
2015-06-19,486.637177,498.474945,486.637177,493.645721,476.064026,21095589
2015-06-22,493.794312,499.614166,488.618378,491.193970,473.699585,8950414
2015-06-23,491.664520,496.642334,490.847260,492.828491,475.275940,7387458
2015-06-24,492.828491,498.499725,488.692688,490.797729,473.317505,8585283
2015-06-25,488.866028,499.762756,487.875427,497.558655,479.837616,12541312
2015-06-26,495.255463,502.288818,493.026611,495.651703,477.998535,9676173
2015-06-29,489.311798,492.258881,481.436462,490.772949,473.293579,9307965
2015-06-30,490.302429,496.716614,489.361328,495.354523,477.711975,10699811
2015-07-01,495.800293,500.480927,495.800293,498.103485,480.363007,6841396
2015-07-02,499.762756,505.087280,498.821655,500.679077,482.846893,7352247
2015-07-03,500.134216,502.140198,496.815674,498.871185,481.103363,6383048
2015-07-06,493.373322,504.666260,492.927551,503.006989,485.091919,5647711
2015-07-07,500.753357,503.527069,495.304993,496.914734,479.216583,5212640
2015-07-08,493.249481,499.614166,491.169220,493.620972,476.040161,7010484
2015-07-09,493.323792,495.800293,486.959106,489.064148,471.645660,7497465
2015-07-10,490.896790,497.286224,490.475769,496.196564,478.524017,7435026
2015-07-13,496.196564,501.496307,492.902771,498.772125,481.007874,4550503
2015-07-14,499.713226,501.001007,492.927551,494.215332,476.613342,4588659
2015-07-15,495.181183,502.437408,495.082123,500.827667,482.990204,6245436
2015-07-16,501.248657,509.074493,500.827667,507.043732,488.984863,6855254
2015-07-17,507.811462,510.733765,504.220490,506.053131,488.029572,4705056
2015-07-20,509.074493,510.139374,504.170959,507.563812,489.486450,2929764
2015-07-21,509.173553,509.396423,496.667084,499.168396,481.389984,3656619
2015-07-22,497.781525,522.026733,497.583405,520.268372,501.738525,7988304
2015-07-23,521.803833,528.911438,515.711548,517.742310,499.302368,8603702
2015-07-24,519.079651,519.896912,505.755951,507.712402,489.629761,6045493
2015-07-27,507.638092,510.114624,496.171783,497.954895,480.219727,9284709
2015-07-28,499.416046,503.576599,495.354523,500.381866,482.560272,6176196
2015-07-29,500.010406,501.595367,491.392090,493.323792,475.753571,6825961
2015-07-30,495.354523,499.267456,491.491150,495.379303,477.735901,5400115
2015-07-31,495.304993,499.217926,490.351959,496.221313,478.547913,7676708
2015-08-03,495.800293,502.164978,495.007813,496.518494,478.834503,4563212
2015-08-04,496.989044,498.103485,485.398895,489.361328,471.932251,5541169
2015-08-05,489.485168,495.701233,487.429657,489.237518,471.812866,6620219
